scenario,queue,rounds,messages_per_round,throughput_median,throughput_min,throughput_max,throughput_cv_percent,seconds_median,seconds_min,cpu_cores_median,cpu_us_per_message,empty_polls_per_message,consumer_jain_median,ctx_switches_per_message,put_latency_samples,put_latency_p50_us,put_latency_p95_us,put_latency_p99_us,put_latency_max_us,get_latency_samples,get_latency_p50_us,get_latency_p95_us,get_latency_p99_us,get_latency_max_us,end_to_end_latency_samples,end_to_end_latency_p50_us,end_to_end_latency_p95_us,end_to_end_latency_p99_us,end_to_end_latency_max_us
backoff_0.5ms,LockFreeQueue,3,3592,9624.092382029125,9494.617780742525,9713.663273008775,0.935596236119703,0.37323000002652407,0.3697884000139311,1.1303351819789913,117.44849665924276,0.3549554565701559,0.9960296114775046,0.005567928730512249,0,,,,,0,,,,,0,,,,
backoff_0.5ms,Queue,3,270640,210930.29502438355,209418.37959584588,225945.28809094,3.4628558184690106,1.2830779000651091,1.1978120999410748,1.3030190917598703,6.177486698196867,0.00014410286727756428,0.9997242990973385,-7.389890629618681e-06,0,,,,,0,,,,,0,,,,
backoff_0.5ms,SimpleQueue,3,500000,4181042.4845201736,4162570.0052931043,4310746.1745567545,1.5630102255419924,0.11958739999681711,0.1159891999559477,0.9105621886578665,0.21875,2.2e-05,0.6666666666666666,-3.8e-05,0,,,,,0,,,,,0,,,,
drain_1c,LockFreeQueue,3,20072,45290.85246913618,44240.45364549959,47211.80558481918,2.699107950759898,0.44318000006023794,0.4251479000085965,0.9871835370290494,21.79653248306098,0.0,1.0,0.0006476683937823834,0,,,,,0,,,,,0,,,,
drain_1c,Queue,3,500000,1762051.817584464,1741333.2971057568,1766225.2514160394,0.6196663992548509,0.28376010002102703,0.2830896000377834,0.9911541473912611,0.5625,0.0,1.0,6e-06,0,,,,,0,,,,,0,,,,
drain_1c,SimpleQueue,3,500000,6729882.703205596,6715808.47899496,6896237.823140275,1.208433822201092,0.0742954999441281,0.07250330003444105,1.0515441723758743,0.15625,0.0,1.0,8e-06,0,,,,,0,,,,,0,,,,
drain_8c,LockFreeQueue,3,15445,39290.78667840747,37547.794731674,39991.300045475764,2.6381256727102698,0.39309469994623214,0.3862090000184253,1.2541784370040352,31.361281968274522,0.0,0.9415875124007964,-0.0012949174490126255,0,,,,,0,,,,,0,,,,
drain_8c,Queue,3,500000,423837.9698140787,401250.87552498304,423865.99525496236,2.5591646269741632,1.1796960999490693,1.1796181000536308,1.2288308062952606,3.0625,0.0,0.9589019169917653,-3.6e-05,0,,,,,0,,,,,0,,,,
drain_8c,SimpleQueue,3,500000,7080137.251656958,6967048.645627711,7253472.603229464,1.6589794268764508,0.0706200998974964,0.06893249996937811,0.8708810807034638,0.125,0.0,0.39383573065114963,-4e-05,0,,,,,0,,,,,0,,,,
fill_1p,LockFreeQueue,3,7635,16300.132517958722,15687.707165298274,16724.484971088816,2.6209657506785518,0.46840109990444034,0.45651630009524524,1.0007448746290963,61.39489194499017,0.0,,0.0020956123117223313,0,,,,,0,,,,,0,,,,
fill_1p,Queue,3,500000,1956921.1212361853,1935577.0281959185,1992091.3972295844,1.1878948505595388,0.25550339999608696,0.25099249999038875,0.9784605606180926,0.5,0.0,,1.6e-05,0,,,,,0,,,,,0,,,,
fill_1p,SimpleQueue,3,500000,11222891.105237896,10644752.660943856,11298081.822052347,2.640180516801094,0.04455180000513792,0.04425529995933175,0.7061301138782716,0.0625,0.0,,2.2e-05,0,,,,,0,,,,,0,,,,
fill_8p,LockFreeQueue,3,5552,11942.145122905597,11887.179701445726,12054.358383349087,0.5816416809399695,0.464908100082539,0.46058029995765537,1.1426989547088613,95.68623919308357,0.0,,-0.0030619596541786743,0,,,,,0,,,,,0,,,,
fill_8p,Queue,3,500000,428304.33798968437,419360.9911692006,457090.7853532999,3.7012781831416084,1.1673941999906674,1.0938746000174433,1.24475948228252,2.9375,0.0,,-2.2e-05,0,,,,,0,,,,,0,,,,
fill_8p,SimpleQueue,3,500000,10548834.795203792,10356963.097787151,11581983.045400975,4.967914809971824,0.047398599912412465,0.043170500081032515,0.9709652904175454,0.09375,0.0,,-1e-05,0,,,,,0,,,,,0,,,,
latency_burst,LockFreeQueue,3,4096,4243.269455736576,4200.448779614853,4506.50224686486,3.1346807794291243,0.965293399989605,0.9089088999899104,1.1861749841067328,278.472900390625,7.2236328125,0.9995410165791675,0.03955078125,3072,663.3,2427.1,3510.9,6837.1,3019,24.4,71.3,837.5,2599.9,3072,769.9,2573.5,3629.6,6945.2
latency_burst,Queue,3,4096,717237.5217265998,670222.8655822292,728138.9446105985,3.563478737612818,0.0057107999455183744,0.005625299992971122,2.5566973326958817,3.814697265625,0.009521484375,0.5,-0.001953125,3072,0.5,0.6,1.4,25.1,3072,0.5,0.5,0.7,62.5,3072,1319.3,1556.8,1562.3,2082.7
latency_burst,SimpleQueue,3,4096,1747738.496738846,1252446.1879510854,2230815.3015440865,22.90735403327515,0.0023436000337824225,0.0018361000111326575,0.0,0.0,0.00244140625,0.4,-0.0029296875,3072,0.1,0.5,1.4,15.4,3072,0.1,0.2,0.4,4.2,3072,478.1,654.9,660.8,913.0
latency_slow_consumer,LockFreeQueue,3,1024,2483.658545885785,2441.799797431697,2537.8867580821584,1.5811489241729617,0.412294999929145,0.40348530001938343,0.2710755509426133,106.8115234375,0.0234375,0.999992370663676,0.013671875,3072,252.8,871.0,1547.2,3544.3,3072,39.4,88.3,133.5,540.5,3072,165613.0,306495.4,320017.6,326115.1
latency_slow_consumer,Queue,3,1024,2827.248490757207,2635.248872657263,2950.6999700523224,4.62815488020192,0.3621896000113338,0.34703629999421537,0.0,0.0,0.0,0.9999771123402632,-0.005859375,3072,0.5,0.7,1.8,66.2,3072,3.8,7.9,10.3,34.1,3072,179464.2,342092.2,356442.3,386534.2
latency_slow_consumer,SimpleQueue,3,1024,3068.776251008777,3029.0902104367433,3079.989183822657,0.713771403943718,0.33368349994998425,0.33246870001312345,0.0,0.0,0.0,0.9999237118750095,-0.009765625,3072,0.1,0.2,1.2,23.9,3072,0.7,1.4,4.9,65.3,3072,170864.5,315993.6,328358.3,335734.5
latency_sparse,LockFreeQueue,3,400,533.9600601025047,515.392453341838,549.2948152700644,2.601238083401537,0.7491196999326348,0.7282064000610262,0.96555729246691,1796.875,126.41,1.0,0.075,1200,113.8,577.4,974.8,3605.4,1200,28.1,125.0,235.2,375.9,1200,173.6,646.2,1028.7,3650.2
latency_sparse,Queue,3,400,611.2810387925203,592.019517685425,617.755656631874,1.800680110654286,0.6543634999543428,0.6475052000023425,0.9712820212026503,1640.625,1655.005,1.0,0.01,1200,3.6,6.8,8.7,68.5,1200,2.5,5.3,7.3,22.1,1200,13.7,25.5,48.5,90.4
latency_sparse,SimpleQueue,3,400,618.9741895896487,617.203085590355,638.3044591477799,1.529577996905274,0.6462304999586195,0.6266601999523118,0.9913258505146717,1562.5,3656.125,1.0,0.0375,1200,0.9,2.2,5.1,9.2,1200,0.6,1.3,2.1,5.6,1200,9.4,16.0,23.3,87.1
payload_64KiB,LockFreeQueue,3,1636,4164.048228703998,3780.956872580402,4383.3514093985505,6.057697971655335,0.3928868999937549,0.37323040002956986,1.2328611618450482,296.07273838630806,7.709046454767726,0.996702108326953,0.0488997555012225,0,,,,,0,,,,,0,,,,
payload_64KiB,Queue,3,317620,206859.12341205013,203886.17499154125,214915.4662777023,2.2341401346772565,1.535441100015305,1.4778833999298513,1.293867109965762,6.100056671494238,0.0018449719790945155,0.9997918700620431,-1.2593665386310686e-05,0,,,,,0,,,,,0,,,,
payload_64KiB,SimpleQueue,3,500000,4309962.13266534,4238121.39073851,4423060.421771198,1.7606324353739125,0.11601030000019819,0.11304389999713749,0.9270890542240491,0.21875,9.2e-05,0.7248095672314142,-1.8e-05,0,,,,,0,,,,,0,,,,
scale_16p16c,LockFreeQueue,3,1760,5121.15756797684,4762.956323000998,5411.340261979057,5.201284539404317,0.3436722999904305,0.3252429000567645,1.249066466721018,230.82386363636363,4.841477272727273,0.9823023218054879,0.1125,0,,,,,0,,,,,0,,,,
scale_16p16c,Queue,3,369520,205159.49024383418,198158.6348059321,213873.32450918618,3.1245673724815974,1.8011352999601513,1.7277516999747604,1.2318619262245807,6.004411127949773,0.05796979865771812,0.9182845976183818,-0.00038157609872266726,0,,,,,0,,,,,0,,,,
scale_16p16c,SimpleQueue,3,500000,3989961.2553603947,3916616.7948517166,4142213.7967012473,2.33945703771942,0.12531450006645173,0.12070840003434569,0.9974903138400987,0.25,0.000262,0.3037380222416012,-0.000158,0,,,,,0,,,,,0,,,,
scale_1p1c,LockFreeQueue,3,2619,7519.109993551354,6201.336733183818,8246.621531426392,11.560423096441939,0.3483125000493601,0.3175845999503508,1.131588244695059,143.184421534937,2.625811378388698,1.0,0.014127529591447117,0,,,,,0,,,,,0,,,,
scale_1p1c,Queue,3,356283,395629.28156068333,388033.8292773766,426057.55033351097,4.074385086041051,0.900547600002028,0.8362320999149233,1.1211002305405156,2.762901962765554,0.0,1.0,1.4033787747380594e-05,0,,,,,0,,,,,0,,,,
scale_1p1c,SimpleQueue,3,500000,4141561.8968081353,3735644.8521159054,4230394.028519038,5.336261941324443,0.12072740006260574,0.1181922999676317,0.9253986937385396,0.21875,0.0,1.0,2e-06,0,,,,,0,,,,,0,,,,
scale_2p2c,LockFreeQueue,3,1732,4101.348780388953,3319.549154536898,4216.233374653399,10.27038792427545,0.4223000999772921,0.4107932000188157,1.197874261885428,324.7690531177829,8.3135103926097,0.9993550450402431,0.026558891454965358,0,,,,,0,,,,,0,,,,
scale_2p2c,Queue,3,372568,203311.80040579083,201305.91001843484,216098.24253384487,3.1665488863744393,1.8324956999858841,1.7240677000954747,1.2278337133436832,6.039166004595134,0.0,0.9998635707731504,2.6840737798200597e-06,0,,,,,0,,,,,0,,,,
scale_2p2c,SimpleQueue,3,500000,4170180.041947165,4123762.3533606664,4287399.846625114,1.641897791835603,0.11989890004042536,0.11662079999223351,1.0425450104867913,0.25,0.0,0.9844754795378312,-8e-06,0,,,,,0,,,,,0,,,,
scale_4p4c,LockFreeQueue,3,2040,4316.321173609264,4297.366830831232,4681.797286605297,3.9921214524809763,0.47262470005080104,0.4357301000272855,1.2562822043286768,291.05392156862746,6.761274509803922,0.9987271125036717,0.06862745098039216,0,,,,,0,,,,,0,,,,
scale_4p4c,Queue,3,351468,200467.751243146,199097.44847661917,201476.8595289552,0.48671170572653266,1.7532395999878645,1.74445839994587,1.2303105002735875,6.179438810930156,0.00877178007670684,0.9998690384428492,-5.405897549705805e-05,0,,,,,0,,,,,0,,,,
scale_4p4c,SimpleQueue,3,500000,4090966.7394727767,4085978.800473428,4148165.8471238636,0.6867240773683884,0.12222049990668893,0.12053519999608397,1.022741684868194,0.25,3.6e-05,0.6792824169641034,-1.2e-05,0,,,,,0,,,,,0,,,,
scale_8p8c,LockFreeQueue,3,1824,5036.307525398756,5005.598367950424,5174.9055658509305,1.451990072921971,0.3621700999792665,0.35247020004317164,1.196909696048992,231.29111842105263,5.004385964912281,0.9852545392517342,0.05043859649122807,0,,,,,0,,,,,0,,,,
